Date, Open, High, Low, Close
07/21/22, 36.7100, 36.9600, 36.6900, 36.7500
07/20/22, 36.6100, 36.7300, 36.5600, 36.7000
07/19/22, 36.6500, 36.7500, 36.5400, 36.6100
07/18/22, 36.6300, 36.6800, 36.5200, 36.6600
07/15/22, 36.5700, 36.7500, 36.5400, 36.6100
07/14/22, 36.2100, 36.6900, 36.1400, 36.5800
07/13/22, 36.2000, 36.3900, 36.0900, 36.2000
07/12/22, 36.2800, 36.3800, 36.1800, 36.1900
07/11/22, 35.8700, 36.2900, 35.8300, 36.2700
07/08/22, 36.0300, 36.1500, 35.8100, 35.9100
07/07/22, 36.2100, 36.3600, 36.0200, 36.0400
07/06/22, 35.9600, 36.2600, 35.9200, 36.2200
07/05/22, 35.7100, 36.0100, 35.6400, 35.9900
07/04/22, 35.5800, 35.7400, 35.5800, 35.7200
07/01/22, 35.3000, 35.7100, 35.3000, 35.5600
06/30/22, 35.2200, 35.4100, 35.1700, 35.3100
06/29/22, 35.1900, 35.2600, 34.9500, 35.2300
06/28/22, 35.3800, 35.4000, 35.0400, 35.1800
06/27/22, 35.4700, 35.5100, 35.2900, 35.3900
06/24/22, 35.5000, 35.5900, 35.4400, 35.4700
06/23/22, 35.3900, 35.5400, 35.3200, 35.4900
06/22/22, 35.3400, 35.5400, 35.2900, 35.3700
06/21/22, 35.3300, 35.4500, 35.2500, 35.3300
06/20/22, 35.2500, 35.3600, 35.2300, 35.3400
06/17/22, 35.0100, 35.3100, 34.9800, 35.2300
06/16/22, 34.7900, 35.1900, 34.7500, 35.0200
06/15/22, 35.0200, 35.1500, 34.7300, 34.8100
06/14/22, 34.8800, 35.0600, 34.8800, 35.0300
06/13/22, 34.7300, 34.9600, 34.7300, 34.8900
06/10/22, 34.5600, 34.8400, 34.5500, 34.7300
06/09/22, 34.5300, 34.5800, 34.4500, 34.5500
06/08/22, 34.4200, 34.5600, 34.4100, 34.5400
06/07/22, 34.3700, 34.5100, 34.3700, 34.4300
06/06/22, 34.3100, 34.4800, 34.2800, 34.4000
06/03/22, 34.2500, 34.4000, 34.1800, 34.3100
06/02/22, 34.3500, 34.4400, 34.2300, 34.2600
06/01/22, 34.3300, 34.4000, 34.2600, 34.3600
05/31/22, 34.0900, 34.3700, 34.0600, 34.3200
05/30/22, 34.1400, 34.1500, 34.0400, 34.0800
05/27/22, 34.2300, 34.2700, 34.0800, 34.1400
05/26/22, 34.2900, 34.3500, 34.1500, 34.2200
05/25/22, 34.0900, 34.3700, 34.0600, 34.3000
05/24/22, 34.1500, 34.2800, 34.0600, 34.0700
05/23/22, 34.4200, 34.4300, 34.1200, 34.1400
05/20/22, 34.4700, 34.5100, 34.2300, 34.4200
05/19/22, 34.6500, 34.6900, 34.3800, 34.4600
05/18/22, 34.5300, 34.7000, 34.4900, 34.6600
05/17/22, 34.7300, 34.7500, 34.4500, 34.5400
05/16/22, 34.7300, 34.8600, 34.6900, 34.7200
05/13/22, 34.7400, 34.8100, 34.6500, 34.7300
05/12/22, 34.6600, 34.7700, 34.6100, 34.7500
05/11/22, 34.6100, 34.7200, 34.5600, 34.6700
05/10/22, 34.5800, 34.6400, 34.4900, 34.6200
05/09/22, 34.3400, 34.6500, 34.3300, 34.5700
05/06/22, 34.3700, 34.4500, 34.2800, 34.3400
05/05/22, 34.0500, 34.4200, 34.0100, 34.3700
05/04/22, 34.3700, 34.4100, 34.0100, 34.0400
05/03/22, 34.4600, 34.5500, 34.3200, 34.3600
05/02/22, 34.2600, 34.5000, 34.2400, 34.4700
04/29/22, 34.4600, 34.4700, 34.1500, 34.2700
04/28/22, 34.3600, 34.5100, 34.3300, 34.4700
04/27/22, 34.3100, 34.4100, 34.2600, 34.3500
04/26/22, 34.1400, 34.3300, 34.0200, 34.3000
04/25/22, 33.9600, 34.1600, 33.9400, 34.1600
04/22/22, 33.9100, 34.0000, 33.8300, 33.9900
04/21/22, 33.7700, 33.9100, 33.7700, 33.9100
04/20/22, 33.8000, 33.9000, 33.7200, 33.7600
04/19/22, 33.7100, 33.8200, 33.6500, 33.8000
04/18/22, 33.6200, 33.7300, 33.5800, 33.7200
04/15/22, 33.7000, 33.7200, 33.6000, 33.6200
04/14/22, 33.5100, 33.7200, 33.4600, 33.6900
04/13/22, 33.6000, 33.6000, 33.4400, 33.5300
04/12/22, 33.6100, 33.7100, 33.4600, 33.5900
04/11/22, 33.5900, 33.6800, 33.5400, 33.6100
04/08/22, 33.4900, 33.6600, 33.4700, 33.5900
04/07/22, 33.5900, 33.6200, 33.3900, 33.4900
04/06/22, 33.5400, 33.6500, 33.5300, 33.6100
04/05/22, 33.4700, 33.5600, 33.3600, 33.5500
04/04/22, 33.5200, 33.5600, 33.4300, 33.4600
04/01/22, 33.2800, 33.5300, 33.2600, 33.5200
03/31/22, 33.3500, 33.4100, 33.1800, 33.2900
03/30/22, 33.4800, 33.5800, 33.2800, 33.3400
03/29/22, 33.7900, 33.8100, 33.4700, 33.4900
03/28/22, 33.5700, 33.8100, 33.5600, 33.7700
03/25/22, 33.5200, 33.6200, 33.4200, 33.6000
03/24/22, 33.6300, 33.7200, 33.5000, 33.5400
03/23/22, 33.5000, 33.7000, 33.4500, 33.6200
03/22/22, 33.5500, 33.7200, 33.4500, 33.4900
03/21/22, 33.3200, 33.5800, 33.2700, 33.5600
03/18/22, 33.2000, 33.4100, 33.1900, 33.3200
03/17/22, 33.3800, 33.4000, 33.1800, 33.2100
03/16/22, 33.5400, 33.5600, 33.2500, 33.3700
03/15/22, 33.4500, 33.5800, 33.4200, 33.5600
03/14/22, 33.3300, 33.4800, 33.2700, 33.4600
03/11/22, 33.1300, 33.3600, 33.1100, 33.3300
03/10/22, 33.0300, 33.1800, 32.9700, 33.1200
03/09/22, 33.1900, 33.2400, 32.9800, 32.9900
03/08/22, 33.0100, 33.2400, 32.9900, 33.2000
03/07/22, 32.6900, 33.0700, 32.6500, 33.0200
03/04/22, 32.6000, 32.7600, 32.5500, 32.6600
03/03/22, 32.5300, 32.6600, 32.4000, 32.5900
03/02/22, 32.7000, 32.7800, 32.4200, 32.5200
03/01/22, 32.6800, 32.7600, 32.5100, 32.7100
02/28/22, 32.4600, 32.7900, 32.4600, 32.6900
02/25/22, 32.6400, 32.6700, 32.4100, 32.4600
02/24/22, 32.2800, 32.9000, 32.2500, 32.6300
02/23/22, 32.4500, 32.4900, 32.1900, 32.2700
02/22/22, 32.2700, 32.4800, 32.2500, 32.4600
02/21/22, 32.1400, 32.2900, 32.0900, 32.2900
02/18/22, 32.1100, 32.2000, 32.0800, 32.1300
02/17/22, 32.2800, 32.3400, 32.0800, 32.1100
02/16/22, 32.3700, 32.4500, 32.2400, 32.2700
02/15/22, 32.4300, 32.4700, 32.2900, 32.3600
02/14/22, 32.7300, 32.7300, 32.4100, 32.4400
02/11/22, 32.7200, 32.7900, 32.6300, 32.7100
02/10/22, 32.7200, 32.7800, 32.5500, 32.7300
02/09/22, 32.9100, 32.9400, 32.6800, 32.7100
02/08/22, 33.0200, 33.0500, 32.8500, 32.9200
02/07/22, 32.9800, 33.1000, 32.8300, 33.0100
02/04/22, 33.1100, 33.1200, 32.9400, 32.9700
02/03/22, 33.1300, 33.2100, 33.0900, 33.1200
02/02/22, 33.2000, 33.2600, 33.0900, 33.1200
02/01/22, 33.2400, 33.3000, 33.1600, 33.1900
01/31/22, 33.4400, 33.4800, 33.2100, 33.2300
01/28/22, 33.3000, 33.4700, 33.2000, 33.4400
01/27/22, 33.1100, 33.3300, 33.0700, 33.3100
01/26/22, 32.9600, 33.1800, 32.9100, 33.1300
01/25/22, 33.0200, 33.1000, 32.9500, 32.9700
01/24/22, 32.9200, 33.1000, 32.9200, 33.0100
01/21/22, 32.9300, 33.0900, 32.8800, 32.9200
01/20/22, 32.9300, 33.1100, 32.7900, 32.9200
01/19/22, 33.0900, 33.2500, 32.8900, 32.9200
01/18/22, 33.1000, 33.1600, 32.8700, 33.0800
01/17/22, 33.2000, 33.3600, 33.0200, 33.1100
01/14/22, 33.2200, 33.2800, 33.1200, 33.1900
01/13/22, 33.3000, 33.3500, 33.1700, 33.2300
01/12/22, 33.3100, 33.4700, 33.2500, 33.2700
01/11/22, 33.6400, 33.6400, 33.2900, 33.3200
01/10/22, 33.6300, 33.7500, 33.5700, 33.6300
01/07/22, 33.5600, 33.7400, 33.4800, 33.6300
01/06/22, 33.2100, 33.6000, 33.2100, 33.5600
