date,premium_diesel_b7,diesel_b7,diesel,diesel_b20,e85,e20,gasohol91,gasohol95,ngv
19/07/2022,48.86,34.94,34.94,34.94,33.34,37.14,37.98,38.25,
16/07/2022,49.36,34.94,34.94,34.94,33.64,37.64,38.48,38.75,
15/07/2022,49.36,34.94,34.94,34.94,34.14,38.44,39.28,39.55,
09/07/2022,49.36,34.94,34.94,34.94,34.44,38.94,39.78,40.05,
08/07/2022,49.36,34.94,34.94,34.94,35.34,40.44,41.28,41.55,
02/07/2022,49.36,34.94,34.94,34.94,37.14,43.44,44.28,44.55,
29/06/2022,49.36,34.94,34.94,34.94,37.54,44.04,44.88,45.15,
22/06/2022,47.86,34.94,34.94,34.94,37.24,43.54,44.38,44.65,
14/06/2022,47.86,34.94,34.94,34.94,37.54,44.04,44.88,45.15,
08/06/2022,46.36,33.94,33.94,33.94,37.14,43.44,44.28,44.55,
07/06/2022,46.36,33.94,33.94,33.94,36.84,42.94,43.78,44.05,
01/06/2022,44.36,32.94,32.94,32.94,37.24,43.54,44.38,44.65,
31/05/2022,44.36,32.94,32.94,32.94,36.74,42.74,43.58,43.85,
28/05/2022,42.36,31.94,31.94,31.94,36.74,42.74,43.58,43.85,
24/05/2022,42.36,31.94,31.94,31.94,36.34,42.34,43.18,43.45,
20/05/2022,40.36,31.94,31.94,31.94,35.84,41.84,42.68,42.95,
19/05/2022,40.36,31.94,31.94,31.94,35.84,41.84,42.68,42.95,
16/05/2022,40.36,31.94,31.94,31.94,35.24,40.84,41.68,41.95,
12/05/2022,39.36,31.94,31.94,31.94,34.24,40.24,41.08,41.35,
07/05/2022,39.36,31.94,31.94,31.94,34.74,40.74,41.58,41.85,
06/05/2022,39.36,31.94,31.94,31.94,34.24,39.94,40.78,41.05,
04/05/2022,39.36,31.94,31.94,31.94,33.44,39.14,39.98,40.25,
01/05/2022,37.96,31.94,31.94,31.94,32.84,38.54,39.38,39.65,
29/04/2022,35.96,29.94,29.94,29.94,31.84,38.54,39.38,39.65,
27/04/2022,35.96,29.94,29.94,29.94,31.04,37.74,38.58,38.85,
23/04/2022,35.96,29.94,29.94,29.94,31.84,38.54,39.38,39.65,
19/04/2022,35.96,29.94,29.94,29.94,31.24,37.94,38.78,39.05,
09/04/2022,35.96,29.94,29.94,29.94,30.44,37.14,37.98,38.25,
08/04/2022,35.96,29.94,29.94,29.94,31.04,37.74,38.58,38.85,
05/04/2022,35.96,29.94,29.94,29.94,30.54,37.24,38.08,38.35,
02/04/2022,35.96,29.94,29.94,29.94,31.14,37.84,38.68,38.95,
31/03/2022,35.96,29.94,29.94,29.94,31.64,38.34,39.18,39.45,
29/03/2022,35.96,29.94,29.94,29.94,32.24,38.94,39.78,40.05,
26/03/2022,35.96,29.94,29.94,29.94,32.74,39.44,40.28,40.55,
23/03/2022,35.96,29.94,29.94,29.94,32.14,38.84,39.68,39.95,
22/03/2022,35.96,29.94,29.94,29.94,31.54,38.24,39.08,39.35,
17/03/2022,35.96,29.94,29.94,29.94,30.94,37.64,38.48,38.75,
15/03/2022,35.96,29.94,29.94,29.94,31.94,38.64,39.48,39.75,
10/03/2022,35.96,29.94,29.94,29.94,32.34,39.04,39.88,40.15,
09/03/2022,35.96,29.94,29.94,29.94,31.54,38.24,39.08,39.35,
08/03/2022,35.96,29.94,29.94,29.94,30.54,37.24,38.08,38.35,
05/03/2022,35.96,29.94,29.94,29.94,29.94,36.64,37.48,37.75,
04/03/2022,35.96,29.94,29.94,29.94,29.34,36.04,36.88,37.15,
02/03/2022,35.76,29.74,29.74,29.74,28.74,35.44,36.28,36.55,
26/02/2022,35.16,29.14,29.14,29.14,28.74,35.44,36.28,36.55,
24/02/2022,34.56,28.54,28.54,28.54,28.34,35.04,35.88,36.15,
19/02/2022,33.96,27.94,27.94,27.94,27.94,34.64,35.48,35.75,
18/02/2022,33.96,27.94,27.94,27.94,28.34,35.04,35.88,36.15,
16/02/2022,35.96,29.94,29.94,29.94,28.34,35.04,35.88,36.15,
12/02/2022,35.96,29.94,29.94,29.94,27.74,34.44,35.28,35.55,
08/02/2022,35.96,29.94,29.94,29.94,27.24,33.94,34.78,35.05,
02/02/2022,35.96,29.94,29.94,29.94,26.74,33.44,34.28,34.55,
28/01/2022,35.96,29.94,29.94,29.94,26.14,32.84,33.78,34.05,
25/01/2022,35.96,29.94,29.94,29.94,25.54,32.24,33.28,33.55,
20/01/2022,35.96,29.94,29.94,29.94,24.94,31.64,32.88,33.15,
14/01/2022,35.86,29.84,29.84,29.84,24.64,31.14,32.38,32.65,
11/01/2022,35.86,29.84,29.84,29.84,24.34,30.64,31.88,32.15,15.59
08/01/2022,35.46,29.44,29.44,29.44,24.14,30.24,31.48,31.75,15.59
05/01/2022,35.06,29.04,29.04,29.04,24.14,30.24,31.48,31.75,15.59
24/12/2021,34.46,28.44,28.44,28.44,23.74,29.64,30.88,31.15,15.59
22/12/2021,34.06,28.04,28.04,28.04,23.44,29.14,30.38,30.65,15.59
15/12/2021,34.46,28.44,28.44,28.44,23.59,29.44,30.68,30.95,15.59
10/12/2021,34.26,28.24,28.24,28.24,23.39,29.04,30.28,30.55,15.59
02/12/2021,33.86,27.84,27.84,27.84,22.99,28.44,29.68,29.95,15.59
01/12/2021,34.26,28.24,28.24,28.24,23.29,28.94,30.18,30.45,15.59
29/11/2021,34.26,28.24,28.09,27.99,23.29,28.94,30.18,30.45,15.59
24/11/2021,34.86,28.84,28.69,28.59,23.69,29.54,30.78,31.05,15.59
20/11/2021,35.06,29.24,29.09,28.99,24.09,30.14,31.38,31.65,15.59
19/11/2021,35.36,29.54,29.39,29.29,24.29,30.54,31.78,32.05,15.59
16/11/2021,35.36,29.74,29.59,29.49,24.44,30.84,32.08,32.35,15.59
10/11/2021,35.56,29.94,29.79,29.69,24.44,31.04,32.28,32.55,15.59
01/11/2021,35.06,29.69,29.54,29.44,24.44,31.04,32.28,32.55,15.59
28/10/2021,35.06,29.69,29.69,29.44,24.44,31.04,32.28,32.55,15.59
23/10/2021,34.46,29.29,29.29,29.04,24.04,30.44,31.68,31.95,15.59
20/10/2021,34.46,29.29,29.29,29.04,23.84,30.04,31.28,31.55,15.59
